id,default_code,name,lst_price,standard_price,categ_id,type,taxes_id,supplier_taxes_id,property_account_income_id,property_account_expense_id,uom_id,uom_po_id,conai_category_id,conai_category2_id,weight
z0bug.product_template_13,MM,Prodotto Micro/Mu,0.45,0.22,product.product_category_1,consu,z0bug.tax_22v,z0bug.tax_22a,z0bug.coa_510000,z0bug.coa_610110,product.product_uom_unit,product.product_uom_unit,,,0.01
z0bug.product_template_14,NN,Prodotto New/Nu,0.54,0.27,product.product_category_1,consu,z0bug.tax_22v,z0bug.tax_22a,z0bug.coa_510000,z0bug.coa_610110,product.product_uom_unit,product.product_uom_unit,,,
z0bug.product_template_15,OO,Prodotto Omicron,0.77,0.39,product.product_category_1,consu,z0bug.tax_22v,z0bug.tax_22a,z0bug.coa_510000,z0bug.coa_610110,product.product_uom_unit,product.product_uom_unit,,,0.03
z0bug.product_template_16,PP,Prodotto Greek Pi,1.24,0.62,product.product_category_1,consu,z0bug.tax_22v,z0bug.tax_22a,z0bug.coa_510000,z0bug.coa_610110,product.product_uom_unit,product.product_uom_unit,l10n_it_conai.ca,,0.12
z0bug.product_template_17,QQ,Prodotto Quality/Omega,0.54,0.27,product.product_category_1,consu,z0bug.tax_22v,z0bug.tax_22a,z0bug.coa_510000,z0bug.coa_610110,product.product_uom_unit,product.product_uom_unit,,,0.04
z0bug.product_template_18,RR,Prodotto Rho,1.19,0.59,product.product_category_1,product,z0bug.tax_22v,z0bug.tax_22a,z0bug.coa_510100,z0bug.coa_610100,product.product_uom_unit,product.product_uom_unit,l10n_it_conai.ca,,0.06
z0bug.product_template_19,SS,Prodotto Sigma,0.66,0.33,product.product_category_1,product,z0bug.tax_22v,z0bug.tax_22a,z0bug.coa_510100,z0bug.coa_610100,product.product_uom_unit,product.product_uom_unit,,,0.01
z0bug.product_template_20,TT,Prodotto Tau,1.09,0.54,product.product_category_1,product,z0bug.tax_22v,z0bug.tax_22a,z0bug.coa_510100,z0bug.coa_610100,product.product_uom_unit,product.product_uom_unit,l10n_it_conai.al,,0.25
z0bug.product_template_21,UU,Prodotto Upsilon,0.51,0.26,product.product_category_1,product,z0bug.tax_22v,z0bug.tax_22a,z0bug.coa_510100,z0bug.coa_610100,product.product_uom_unit,product.product_uom_unit,,,0.05
z0bug.product_template_22,VV,Prodotto Theta,0.63,0.32,product.product_category_1,product,z0bug.tax_22v,z0bug.tax_22a,z0bug.coa_510100,z0bug.coa_610100,product.product_uom_unit,product.product_uom_unit,,,0.04
z0bug.product_template_23,WW,Special Worldwide service,1.88,0,product.product_category_all,service,z0bug.tax_a15v,z0bug.tax_a15a,z0bug.coa_510200,z0bug.coa_621200,product.product_uom_unit,product.product_uom_unit,,,
z0bug.product_template_24,XX,Prodotto Xi extra,0.52,0.26,product.product_category_1,consu,z0bug.tax_22v,z0bug.tax_22a,z0bug.coa_510000,z0bug.coa_610110,product.product_uom_unit,product.product_uom_unit,,,0.04
z0bug.product_template_25,YY,Special service for Young people,0.71,0,product.product_category_all,service,z0bug.tax_22v,z0bug.tax_22a,z0bug.coa_510200,z0bug.coa_621200,product.product_uom_unit,product.product_uom_unit,,,
z0bug.product_template_26,ZZ,Prodotto Zeta,1.44,0.72,product.product_category_1,consu,z0bug.tax_22v,z0bug.tax_22a,z0bug.coa_510000,z0bug.coa_610110,product.product_uom_unit,product.product_uom_unit,l10n_it_conai.ac,,0.35
z0bug.product_template_27,__,Consegna gratuita,0,0,product.product_category_all,service,z0bug.tax_22v,z0bug.tax_22a,z0bug.coa_510200,z0bug.coa_621200,product.product_uom_unit,product.product_uom_unit,,,
z0bug.product_template_SB,SP-BANC,Spese bancarie,2.5,0.95,product.product_category_all,service,z0bug.tax_22v,z0bug.tax_22a,z0bug.coa_512000,z0bug.coa_731140,product.product_uom_unit,product.product_uom_unit,,,
